i,511
b,-229
S,106
d,-116
x,-100
h,-99
x,-75
a,116
S,-70
b,-117
Y,-11
g,42
h,114
L,67
l,-110
z,113
U,-79
c,-76
H,-100
