s,-4
Q,-6
c,11
u,93
A,2
x,-14
Z,-33
S,43
W,-25
K,1
n,-43
j,83
F,-116
Q,97
w,61
G,-39
g,45
n,82
P,-82
j,49
J,36
r,54
T,-7
h,-14
U,-110
f,63
B,-91
X,115
e,-78
 ,-250
S,-101
 ,190
x,103
A,108
e,-19
K,-101
s,-1589
S,-71
H,-22
H,119
l,-94
z,-67
w,-86
o,179
Z,70
q,-70
D,39
X,-77
E,-21
v,-69
r,-15
s,20
a,119
v,-57
X,60
j,106
K,17
b,-338
x,-90
n,46
f,-1046
t,87
y,119
D,-63
F,118
K,-54
m,-117
w,79
f,-28
F,-39
 ,-1664
s,-71
W,-87
e,-200
h,-21
s,62
L,-107
w,42
X,28
o,-15
b,-97
V,48
d,101
H,-38
U,20
s,-97
O,-40
h,51
V,59
D,80
n,103
H,-54
B,97
x,-89
y,-32
X,81
r,-22
G,-4
t,-90
H,91
R,50
m,-97
a,22
e,91
v,-51
L,-64
h,286
A,-102
R,-85
U,-54
B,-95
m,-82
k,37
Z,3
r,-9
X,-110
r,68
E,-29
v,2
U,115
u,40
G,0
g,-70
T,-7
I,-48
N,-41
D,-75
d,-41
f,-358
F,112
m,-88
k,-64
M,-60
K,-37
N,-106
o,46
I,34
k,-70
L,60
H,-58
c,-7
w,-33
k,11
j,14
F,-63
g,-10
r,100
d,-16
g,-207
C,12
R,-14
f,-16
d,-70
Y,91
e,30
Y,1
W,-47
v,117
L,44
n,87
t,-70
i,-108
S,64
Q,94
w,54
Z,-96
e,114
K,23
W,62
K,71
b,118
C,11
l,-111
r,13
i,22
J,-38
r,-18
w,3
Y,-111
y,-49
T,56
I,83
L,14
m,50
T,95
H,62
d,-14
s,11
w,-100
q,-87
m,-63
Z,-87
i,-48
O,-83
n,41
S,80
i,24
p,-1825
n,47
o,16
R,66
z,7
d,30
o,-1205
X,94
g,88
Q,-41
n,57
X,94
V,-41
o,-88
l,-42
r,-28
i,-24
M,15
m,62
c,-1466
r,7
t,-1
j,-20
U,-42
W,45
K,-101
a,-29
F,-93
p,108
b,23
h,-28
M,53
h,-7
L,-5
R,59
e,877
u,93
q,102
H,50
p,-67
d,-116
g,-118
N,-68
V,76
f,2
W,102
D,56
q,90
N,-84
v,-71
j,-113
q,93
x,-115
a,-12
m,16
I,85
M,117
X,-100
q,0
L,102
a,-41
h,21
e,-76
b,-82
Q,-19
q,99
Y,-6
S,13
d,106
e,-113
D,11
P,-120
G,102
x,67
A,1672
m,47
E,55
Z,32
q,-66
S,-8
h,78
f,84
M,-14
W,-82
g,100
Z,91
N,63
S,-112
L,-5
A,-18
x,-40
A,-9
Y,-73
Z,9
F,110
v,6
T,-115
K,-1
j,11
W,103
O,28
P,-8
I,-91
Z,30
s,38
q,-119
Q,69
K,12
P,32
T,-17
q,-65
o,56
S,-36
G,-97
O,46
T,82
u,72
R,-13
u,-43
C,59
d,-71
Q,-31
C,-40
G,73
D,-91
T,99
r,-92
D,-18
y,29
v,-15
Q,11
C,-75
X,-104
H,29
S,33
x,72
l,78
G,48
x,103
x,47
J,42
c,11
v,-5
I,84
b,121
A,67
g,67
r,71
z,-102
W,-79
B,-109
j,-72
M,-11
y,11
H,4
a,19
Q,-118
w,51
k,31
x,92
d,-28
R,-55
o,1162
e,1114
H,-49
E,10
Q,-5
o,52
e,168
e,-63
o,98
u,-75
U,24
g,-107
m,101
p,36
A,44
e,-50
w,118
 ,928
i,-95
d,82
d,415
j,-100
c,-69
u,-11
i,92
W,80
O,120
U,-71
a,347
A,-18
c,101
X,89
m,-115
c,-47
Z,-46
r,32
n,47
s,22
H,-7
Y,-51
O,102
z,111
S,-33
V,-23
b,-14
m,-43
o,-111
w,-59
n,-6
f,-107
J,79
c,17
c,-104
e,20
N,-6
W,-71
S,94
B,4
r,119
N,58
x,86
F,94
K,-10
o,-63
w,83
T,-33
h,1243
u,53
L,80
U,22
L,-94
Z,-91
I,-67
f,-50
K,99
D,-68
F,-79
b,-74
a,93
C,69
R,98
G,-95
m,-78
b,-117
b,-100
u,-52
h,69
A,-39
l,834
O,-42
t,115
z,8
n,75
z,77
w,77
E,-98
$,-380
i,6
q,52
k,58
K,-11
q,49
Q,-96
D,-104
K,-31
u,119
l,-54
U,-63
h,-76
k,-78
r,64
z,42
G,106
c,70
o,-68
N,-96
h,62
x,-104
q,113
h,-30
J,-67
k,31
R,120
H,90
M,38
N,80
w,17
o,-81
K,-26
U,11
B,65
i,5
A,46
G,-4
v,-17
W,72
y,58
l,635
g,19
X,-107
E,-42
j,89
I,-33
y,-36
o,-11
U,79
b,3
t,76
n,53
h,-10
R,-107
x,42
U,-36
K,-114
v,56
o,-27
d,-82
 ,-676
M,-17
P,60
f,81
a,-10
m,-56
Q,-2
q,44
F,1
 ,891
D,120
u,-30
s,84
c,-52
B,-118
i,-734
t,-327
x,-5
e,-36
Q,116
T,80
e,2
E,3
t,-3
L,79
q,-41
E,-104
B,-26
U,37
c,92
a,-103
a,-53
z,46
x,-77
w,-117
e,35
m,-30
v,-49
n,-115
q,-82
B,94
U,-103
q,88
h,-13
E,-112
Q,-69
X,-85
a,-114
n,74
y,-95
p,5
 ,-62
Y,75
x,11
g,-86
M,-58
h,-102
R,-74
N,112
N,-102
L,110
l,-109
O,-117
O,-115
c,-63
h,-65
i,-20
N,-48
q,31
N,-90
p,41
E,-22
e,12
E,98
d,-120
f,-59
E,-118
Q,113
S,66
s,-14
d,2
h,47
y,158
t,-603
H,24
i,-89
D,83
B,-86
f,-18
m,110
q,112
x,-108
L,49
D,-82
G,91
a,56
Z,60
e,-118
j,-20
y,-114
Z,-61
I,13
m,120
l,5
k,-59
q,-97
I,-49
J,83
a,-24
l,110
h,-110
V,67
f,68
V,-29
t,-83
N,105
m,90
W,-54
p,95
c,38
a,112
Z,-20
x,-106
Y,45
J,105
Q,-83
